timestamp_ms,vmrss_kb,pss_kb,cpu_pct
1772557499728,1264,1264,0.00
1772557504732,1264,1264,0.01
1772557509736,1264,1264,0.00
1772557514740,1264,1264,0.00
1772557519745,784,784,0.00
1772557524747,784,784,0.01
1772557529753,784,784,0.00
1772557534756,784,784,0.00
1772557539761,784,784,0.00
1772557544765,784,784,0.00
1772557549771,784,784,0.00
1772557554776,784,784,0.01
1772557559780,784,784,0.00
1772557564785,784,784,0.00
1772557569790,784,784,0.01
1772557574795,784,784,0.00
1772557579797,784,784,0.01
1772557584799,784,784,0.00
1772557589803,784,784,0.01
1772557594807,784,784,0.00
1772557599812,704,704,0.00
1772557604816,704,704,0.00
1772557609822,704,704,0.00
1772557614822,704,704,0.00
1772557619828,704,704,0.01
1772557624832,704,704,0.00
1772557629834,704,704,0.01
1772557634838,704,704,0.00
1772557639840,704,704,0.00
1772557644845,704,704,0.00
1772557649850,704,704,0.00
1772557654855,704,704,0.00
1772557659857,704,704,0.00
1772557664858,704,704,0.00
1772557669863,704,704,0.00
1772557674867,1200,1200,0.53
1772557679871,1200,1200,0.00
1772557684872,1040,1040,0.00
1772557689877,1040,1040,0.00
1772557694882,912,912,0.00
1772557699889,960,960,0.01
1772557704890,928,928,0.01
1772557709894,1008,1008,0.02
1772557714899,1040,1040,0.03
1772557719903,1136,1136,0.05
1772557724909,1168,1168,0.08
1772557729914,1280,1280,0.09
1772557734914,1344,1344,0.12
1772557739920,1472,1472,0.13
1772557744923,1552,1552,0.20
1772557749925,1696,1696,0.17
1772557754929,1792,1792,0.28
1772557759933,1504,1504,0.08
1772557764939,1504,1504,0.00
1772557769944,1504,1504,0.00
1772557774949,1504,1504,0.00
1772557779950,1280,1280,0.00
1772557784955,1280,1280,0.00
1772557789956,1280,1280,0.00
1772557794961,960,960,0.00
1772557799966,960,960,0.00
1772557804971,960,960,0.00
1772557809972,720,720,0.00
1772557814975,752,752,0.00
1772557819980,752,752,0.00
1772557824985,752,752,0.00
1772557829991,752,752,0.00
1772557834994,752,752,0.00
1772557839998,752,752,0.00
1772557845000,752,752,0.00
1772557850005,752,752,0.00
1772557855007,752,752,0.00
1772557860011,752,752,0.00
1772557865016,720,720,0.01
1772557870018,720,720,0.00
1772557875020,720,720,0.00
1772557880021,720,720,0.01
1772557885026,720,720,0.00
1772557890031,720,720,0.00
1772557895033,720,720,0.00
1772557900034,720,720,0.00
1772557905037,720,720,0.00
1772557910043,720,720,0.00
1772557915048,720,720,0.00
1772557920050,720,720,0.00
1772557925053,640,640,0.00
1772557930057,704,704,0.01
1772557935058,704,704,0.00
1772557940064,704,704,0.00
1772557945070,704,704,0.00
1772557950075,688,688,0.00
1772557955081,688,688,0.00
1772557960086,624,624,0.00
1772557965091,688,688,0.00
1772557970092,688,688,0.01
1772557975097,688,688,0.00
1772557980098,688,688,0.00
1772557985104,688,688,0.00
1772557990109,624,624,0.00
1772557995114,624,624,0.01
1772558000118,688,688,0.01
1772558005122,688,688,0.01
1772558010124,688,688,0.00
1772558015129,688,688,0.00
1772558020131,688,688,0.00
1772558025136,688,688,0.00
1772558030141,688,688,0.00
1772558035145,688,688,0.01
1772558040146,688,688,0.00
1772558045151,688,688,0.00
1772558050156,688,688,0.00
1772558055157,688,688,0.00
1772558060162,688,688,0.00
1772558065167,688,688,0.00
1772558070171,688,688,0.01
1772558075176,688,688,0.00
1772558080180,688,688,0.00
1772558085185,688,688,0.00
1772558090190,624,624,0.00
1772558095193,688,688,0.00
1772558100198,688,688,0.00
1772558105199,688,688,0.00
1772558110204,688,688,0.00
1772558115207,688,688,0.00
1772558120212,688,688,0.00
1772558125216,688,688,0.00
1772558130219,688,688,0.00
1772558135225,688,688,0.00
1772558140227,688,688,0.00
1772558145231,688,688,0.00
1772558150234,688,688,0.01
1772558155240,624,624,0.00
1772558160243,688,688,0.00
1772558165246,688,688,0.00
1772558170251,688,688,0.00
1772558175254,688,688,0.00
1772558180259,688,688,0.00
1772558185265,688,688,0.00
1772558190266,688,688,0.00
1772558195271,688,688,0.00
1772558200276,688,688,0.00
1772558205277,688,688,0.00
1772558210281,624,624,0.00
1772558215286,688,688,0.00
1772558220289,688,688,0.01
1772558225294,688,688,0.00
1772558230300,688,688,0.01
1772558235301,688,688,0.00
1772558240306,688,688,0.00
1772558245309,688,688,0.01
1772558250315,688,688,0.01
1772558255317,688,688,0.00
1772558260322,688,688,0.00
1772558265323,688,688,0.00
1772558270327,688,688,0.00
1772558275332,688,688,0.00
1772558280337,688,688,0.00
1772558285343,688,688,0.01
1772558290344,688,688,0.00
1772558295346,688,688,0.00
1772558300352,688,688,0.01
1772558305356,688,688,0.00
1772558310361,688,688,0.00
1772558315367,688,688,0.00
1772558320370,688,688,0.01
1772558325371,688,688,0.01
1772558330377,704,704,0.00
